,Date,Actual,Predicted
531,2015-03-10,[37.54999924],[37.32104897]
532,2015-03-11,[37.77999878],[37.5766924]
533,2015-03-12,[38.43000031],[37.71991635]
534,2015-03-13,[38.04999924],[38.17149733]
535,2015-03-16,[38.58000183],[38.17534628]
536,2015-03-17,[38.29000092],[38.37375519]
537,2015-03-18,[38.5],[38.35579456]
538,2015-03-19,[38.65000153],[38.4072672]
539,2015-03-20,[38.86999893],[38.56468122]
540,2015-03-23,[38.59000015],[38.78006085]
541,2015-03-24,[37.84999847],[38.66973449]
542,2015-03-25,[37.38000107],[38.05581517]
543,2015-03-26,[37.34999847],[37.45029315]
544,2015-03-27,[37.31000137],[37.28354529]
545,2015-03-30,[37.68000031],[37.30117111]
546,2015-03-31,[37.5],[37.54023605]
547,2015-04-01,[36.74000168],[37.54352025]
548,2015-04-02,[36.5],[36.96728553]
549,2015-04-06,[36.65999985],[36.49899034]
550,2015-04-07,[35.72999954],[36.5383058]
551,2015-04-08,[36.11000061],[36.05436333]
552,2015-04-09,[36.29000092],[35.94221542]
553,2015-04-10,[36.56999969],[36.17796746]
554,2015-04-13,[36.40000153],[36.48683616]
555,2015-04-14,[36.47999954],[36.46266236]
556,2015-04-15,[36.93999863],[36.4209771]
557,2015-04-16,[37.08000183],[36.74427653]
558,2015-04-17,[36.63999939],[37.03979248]
559,2015-04-20,[37.11000061],[36.80468382]
560,2015-04-21,[37.15999985],[36.90294074]
561,2015-04-22,[37.15999985],[37.11709803]
562,2015-04-23,[35.91999817],[37.17675821]
563,2015-04-24,[35.59000015],[36.33319488]
564,2015-04-27,[35.77999878],[35.62238874]
565,2015-04-28,[35.72000122],[35.63885014]
566,2015-04-29,[35.50999832],[35.76099864]
567,2015-04-30,[35.06000137],[35.60589233]
568,2015-05-01,[35.41999817],[35.18505594]
569,2015-05-04,[35.40000153],[35.24362243]
570,2015-05-05,[35.00999832],[35.39904773]
571,2015-05-06,[34.77000046],[35.16997317]
572,2015-05-07,[34.88000107],[34.83007252]
573,2015-05-08,[35.31999969],[34.80257163]
574,2015-05-11,[35.22000122],[35.16401016]
575,2015-05-12,[34.74000168],[35.28594192]
576,2015-05-13,[34.79999924],[34.91843008]
577,2015-05-14,[34.65000153],[34.73866688]
578,2015-05-15,[34.90999985],[34.68194533]
579,2015-05-18,[35.04999924],[34.83442334]
580,2015-05-19,[35.11999893],[35.01323109]
581,2015-05-20,[35.02000046],[35.10697911]
582,2015-05-21,[35.58000183],[35.05409458]
